xinji,辛集
linan,临安
yuyao,余姚
cixi,慈溪
fenghua,奉化
ruian,瑞安
yueqing,乐清
haining,海宁
pinghu,平湖
tongxiang,桐乡
zhuji,诸暨
shangyu,上虞
shengzhou,嵊州
lanxi,兰溪
yiwu,义乌
dongyang,东阳
yongkang,永康
jiangshan,江山
wenling,温岭
linhai,临海
lishui,丽水
longquan,龙泉
tongcheng,桐城
tianchang,天长
mingguang,明光
bozhou,亳州
jieshou,界首
xuanzhou,宣州
ningguo,宁国
guichi,贵池
fuqing,福清
changyue,长乐
yongan,永安
shishi,石狮
jinjiang,晋江
nanan,南安
longhai,龙海
shaowu,邵武
wuyishan,武夷山
jianou,建瓯
jianyang,建阳
zhangping,漳平
ningde,宁德
fuan,福安
fuding,福鼎
leping,乐平
ruichang,瑞昌
guixi,贵溪
ruijin,瑞金
nankang,南康
yichun,宜春
fengcheng,丰城
zhangshu,樟树
gaoan,高安
shangrao,上饶
dexing,德兴
jian,吉安
jinggangshan,井冈山
linchuan,临川
zhangqiu,章丘
jiaozhou,胶州
jimo,即墨
pingdu,平度
jiaonan,胶南
laixi,莱西
tengzhou,滕州
longkou,龙口
laiyang,莱阳
laizhou,莱州
penglai,蓬莱
zhaoyuan,招远
qixia,栖霞
haiyang,海阳
qingzhou,青州
zhucheng,诸城
shouguang,寿光
anqiu,安丘
gaomi,高密
changyi,昌邑
qufu,曲阜
yanzhou,兖州
zoucheng,邹城
xintai,新泰
feicheng,肥城
wendeng,文登
rongcheng,荣成
rushan,乳山
leling,乐陵
yucheng,禹城
linqing,临清
binzhou,滨州
heze,菏泽
gongyi,巩义
yingyang,荥阳
xinmi,新密
xinzheng,新郑
dengfeng,登封
yanshi,偃师
wugang,舞钢
ruzhou,汝州
linzhou,林州
weihui,卫辉
huixian,辉县
jiyuan,济源
qinyang,沁阳
mengzhou,孟州
yuzhou,禹州
changge,长葛
yima,义马
lingbao,灵宝
dengzhou,邓州
yongcheng,永城
zhoukou,周口
xiangcheng,项城
zhumadian,驻马店
daye,大冶
danjiangkou,丹江口
zhicheng,枝城
dangyang,当阳
zhijiang,枝江
laohekou,老河口
zaoyang,枣阳
yicheng,宜城
zhongxiang,钟祥
yingcheng,应城
anlu,安陆
guangshui,广水
hanchuan,汉川
shishou,石首
honghu,洪湖
songzi,松滋
macheng,麻城
wuxue,武穴
chibi,赤壁
enshi,恩施
lichuan,利川
suizhou,随州
xiantao,仙桃
qianjiang,潜江
tianmen,天门
liuyang,浏阳
liling,醴陵
xiangxiang,湘乡
shaoshan,韶山
leiyang,耒阳
changning,常宁
wugang,武冈
miluo,汩罗
linxiang,临湘
jinshi,津市
yuanjiang,沅江
zixing,资兴
hongjiang,洪江
lengshuijiang,冷水江
lianyuan,涟源
jishou,吉首
fanyu,番禺
huadou,花都
zengcheng,增城
conghua,从化
lechang,乐昌
nanxiong,南雄
chaoyang,潮阳
chenghai,澄海
shunde,顺德
nanhai,南海
sanshui,三水
gaoming,高明
taishan,台山
xinhui,新会
kaiping,开平
heshan,鹤山
enping,恩平
lianjiang,廉江
leizhou,雷州
wuchuan,吴川
gaozhou,高州
huazhou,化州
xinyi,信宜
gaoyao,高要
sihui,四会
huiyang,惠阳
xingning,兴宁
lufeng,陆丰
yangchun,阳春
yingde,英德
lianzhou,连州
puning,普宁
luoding,罗定
cenxi,岑溪
dongxing,东兴
guiping,桂平
beiliu,北流
pingxiang,凭祥
heshan,合山
hezhou,贺州
baise,百色
hechi,河池
yizhou,宜州
wuzhishan,五指山
qionghai,琼海
danzhou,儋州
qiongshan,琼山
wenchang,文昌
wanning,万宁
dongfang,东方
jiangjin,江津
hechuan,合川
yongchuan,永川
nanchuan,南川
dujiangyan,都江堰
pengzhou,彭州
qionglai,邛崃
chongzhou,崇州
guanghan,广汉
shenfang,什邡
mianzhu,绵竹
jiangyou,江油
emeishan,峨眉山
langzhong,阆中
huaying,华蓥
wanyuan,万源
yaan,雅安
xichang,西昌
bazhong,巴中
ziyang,资阳
jianyang,简阳
qingzhen,清镇
chishui,赤水
renhuai,仁怀
tongren,铜仁
xingyi,兴义
bijie,毕节
anshun,安顺
kaili,凯里
douyun,都匀
fuquan,福泉
anning,安宁
xuanwei,宣威
zhaotong,昭通
chuxiong,楚雄
gejiu,个旧
kaiyuan,开远
simao,思茅
jinghong,景洪
dali,大理
baoshan,保山
ruili,瑞丽
luxi,潞西
xingping,兴平
hancheng,韩城
huayin,华阴
ankang,安康
shangzhou,商州
yumen,玉门
jiuquan,酒泉
dunhuang,敦煌
zhangye,张掖
wuwei,武威
pingliang,平凉
xifeng,西峰
linxia,临夏
hezuo,合作
geermu,格尔木
delingha,德令哈
qingtongxia,青铜峡
lingwu,灵武
tulufan,吐鲁番
hami,哈密
changji,昌吉
fukang,阜康
miquan,米泉
boyue,博乐
kuerle,库尔勒
akesu,阿克苏
atushi,阿图什
kashen,喀什
hetian,和田
kuitun,奎屯
yining,伊宁
tacheng,塔城
wusu,乌苏
aletai,阿勒泰
