aiai,爱爱
chuanchuan,串串
chuangyi,创意
chuanqi,传奇
chuanshu,传输
chuanzhen,传真
chuban,出版
chufang,厨房;处方
chuhuo,出货
chukou,出口
chunjin,纯金
chushou,出售
chuxing,出行
chuxu,储蓄
chuyou,出游
chuzu,出租
cidai,磁带
cidian,词典
congcong,聪聪
conghui,聪惠
congming,聪明
cuicui,翠翠
cuiniao,翠鸟
dache,打车
dadian,大典
dage,大哥
dahe,大河
daheng,大亨
dahua,大华
daibiao,代表
daifu,代夫
daijia,代驾
daijia,代驾
daikuan,贷款
dajun,大军
dakao,大考
dalao,大佬
dami,大米
danche,单车
dangmi,当米
dangpu,当铺
danqing,丹青
daodan,导弹;捣蛋
daojia,道家
daojiao,道教
daoyou,导游
dapai,打牌
daqiu,打球
dashan,搭讪
dashi,大师
dasuan,大蒜
datong,大同
dawang,大王
daxue,大学
dazuo,大作
defu,德芙
deguo,德国
dengdai,等待
dengding,登顶
dengji,登记
denglong,灯笼
dengshan,登山
dengyang,瞪羚
diandang,典当
diandian,点点
dianhua,电话
diannao,电脑
dianpu,店铺
dianqi,电气
dianshi,电视
dianti,电梯
dianying,电影
dianzan,点赞
dianzi,电子
diaoche,吊车
diaoju,钓具
diaolan,吊兰
diaoyu,钓鱼
diba,迪吧
dibao,地堡
diguo,帝国
dili,地理
diming,地名
dingdian,顶点
dinghao,订号
dingjin,定金
dingpiao,订票
dingxiang,丁香
dingyue,订阅
dingzhi,定制
dishi,的士
diting,迪厅
ditu,地图
diya,抵押
diyi,第一
dizhen,地震
donggang,东港
donggua,冬瓜
donghua,动画
dongman,动漫
dongsha,东沙
doufu,豆腐
doukou,豆蔻
douni,斗牛
douzi,豆子
dubo,赌博
duchang,赌场
dudu,嘟嘟
dugui,赌鬼
duichong,对冲
dujia,度假
dujuan,杜鹃
duodian,多点
duoke,多客
dupan,赌盘
dupin,毒品
edian,e点
endian,恩典
erduo,耳朵
erhuan,耳环
ertong,儿童
erxi,儿戏
facai,发财
fada,发达
fadian,法典
faguo,法国
fajia,法家
falv,法律
fandian,饭店
fangchan,房产
fangche,房车
fanguan,饭馆
fangwu,房屋
fangze,芳泽
fangzhan,房展
fangzi,房子
fanke,凡客
fanle,烦了
fanli,返利
fanqie,番茄
fanrong,繁荣
fanxian,返现
fashi,法师
fawen,法文
faxian,发现
feicui,翡翠
feidie,飞碟
feidu,飞度
feie,飞蛾
feiku,飞酷
feipang,肥胖
feipin,废品
feiqu,飞趣
feiqun,飞群
feiren,飞人
feitao,飞淘
feiwu,飞舞
feixiang,飞翔
feixing,飞行
feiying,飞鹰
feizai,肥仔
feizei,飞贼
feizhou,非洲
fendian,分店
fengchao,凤巢
fengde,丰德
fengge,风格
fenghuang,凤凰
fengjing,风景
fengkuang,疯狂
fengnian,丰年
fengniao,蜂鸟
fengshang,风尚
fengwang,蜂王
fengwo,蜂窝
fengyu,风雨
fengyun,风云
fengzheng,风筝
fensi,粉丝
fodian,佛典
fojiao,佛教
fucai,福彩
fuchan,妇产
fuli,福利
furong,芙蓉
fusang,扶桑
fuwu,服务
fuzhuang,服装
ganai,肝癌
gangcai,钢材
ganggou,钢构
gangqin,钢琴
ganju,柑橘
ganzhe,甘蔗
gaodian,糕点
gaodiao,高调
gaogan,高干
gaogui,高贵
gaoji,高级
gaosheng,高盛
gaoxiao,搞笑
gaoxing,高兴
gaoyang,羔羊
gaoyao,膏药
gechang,歌唱
geci,歌词
gehou,歌喉;歌后
gemei,格美
geyan,格言
gezi,鸽子
gongcheng,工程
gongdian,宫殿
gonggong,公共
gongjiao,公交
gongniu,公牛
gongtong,共同
gongyu,公寓
gongzai,公仔
gongzuo,工作
gouche,购车
gougou,狗狗
gouhua,购花
gouwu,购物
gouxiong,狗熊
gouyao,购药
guache,挂车
guagou,挂钩
guangdian,光电
guanggao,广告
guanggun,光棍
guanghan,广汉
guangling,广陵
guangpan,全盘
guangrong,光荣
guanjia,管家
guanli,管理
guanming,冠名
guantou,罐头
guanwang,官网
guazi,瓜子
gucheng,股城
gudian,古典
gudong,股东
gufen,股份
gugong,故宫
guihua,桂花
guiyu,鲑鱼
guiyun,桂云
guizu,贵族
gujiu,古酒
guoer,过儿
guofang,国防
guoji,国际
guojia,国家
guojiu,果酒
guokao,国考
guomin,国民
guoqiu,国球
guoren,国人
guowai,国外
guowang,国王
guoyi,国医
guozhi,果汁
gupiao,股票
guqin,古琴
gushen,股神
gusheng,股神
gushi,故事;股市
gushu,古书;古树
guwan,古玩
guwen,顾问
guxiang,故乡
guyong,雇佣
guzhe,骨折
haichan,海产
haigou,海狗
haijun,海军
haima,海马
hainiao,海鸟
hainiu,海牛
haiou,海鸥
haishen,海参
haita,海獭
haitao,海淘
haitun,海豚
haixian,海鲜
haixiang,海象
haixing,海星
haiyue,海悦
haizhe,海蜇
haizi,孩子
hancheng,汉城
hanghai,航海
hangkong,航空
hangmi,航迷
hangmu,航母
hangqing,行情
hanguo,韩国
hangxian,航线
hangxing,航行
hanpu,汉普
hanshe,寒舍
hanzu,汉族
haocang,好藏
haoma,号码
haomen,豪门
haomeng,豪门
haomi,好米
haoyun,好运
hedian,核电
hefa,合法
hegu,河谷
hehua,荷花
heidou,黑豆
heihuo,黑火
heiniu,黑牛
heixiong,黑熊
heixun,黑讯
heiying,黑影;黑鹰
heiyun,黑云
heka,贺卡
helan,荷兰
henan,河南
hengchang,恒昌
hengshan,衡山;恒山
heshang,和尚
hetao,核桃
hetong,合同
hezuo,合作
hongcha,红茶
hongdou,红豆
honghong,红红
honghua,红花
hongjiu,红酒
hongju,红菊
honglou,红楼
hongniang,红娘
hongri,红日
hongti,红提
hongtu,宏图
hongu,红谷
houqi,后期
houzi,猴子
huabi,画笔
huacha,花茶
huache,花车
huadian,花店
huahua,画画
hualiao,化疗
huamei,画眉
huanchang,欢场
huangchao,皇朝
huangdi,皇帝
huangdou,黄豆
huangfeng,黄蜂
huanggua,黄瓜
huanghou,皇后
huangjin,黄金
huangniu,黄牛
huangque,黄雀
huangse,黄色
huangshan,黄山
huangshang,皇上
huangtao,黄桃
huangyou,黄油
huangzi,皇子
huanle,欢乐
huanxiao,欢笑
huaqi,花旗
huashan,华山
huaxia,华夏
huayuan,花园
huazhuang,化妆
huibian,汇编
huihuang,辉煌
huilang,灰狼
huiren,汇仁
huitong,汇通
hujiao,胡椒
huke,虎客
hulu,葫芦
hunche,婚车
hunli,婚礼
hunlian,婚恋
hunqing,婚庆
hunyan,婚宴
huobi,货币
huoche,火车
huofeng,火凤
huojian,火箭
huore,火热
hupan,湖畔
huqin,胡琴
huwai,户外
huya,虎牙
huyou,忽悠
jiaai,佳爱
jiacai,佳彩
jiachong,甲虫
jiadang,家当
jiadian,家电
jiading,家丁
jiajie,佳节
jiaju,家具;家居
jiaju,家居
jiandao,剑道
jiandie,间谍
jianfei,减肥
jiangke,讲课
jiangzhong,江中
jiankang,健康
jianli,监理;简历
jianmei,健美
jianshe,建设
jianshen,健身
jiaoche,轿车
jiaodian,焦点
jiaoguan,教官
jiaohuan,交换
jiaojing,交警
jiaoke,教课
jiaopian,胶片
jiaoxue,教学
jiaoyou,郊游
jiaoyu,教育
jiaozhu,教主
jiapian,佳片
jiari,假日
jiasi,家私
jiating,家庭
jiaxiang,家乡
jiazheng,家政;驾证
jiazhou,加州
jiazi,匣子
jibu,吉布
jidian,极点
jiebu,捷步
jiecai,芥菜
jiegou,结构
jiehua,解花
jiehun,结婚
jiemeng,结盟;解梦
jiemeng,解梦
jieqi,节气
jieshi,结石
jiewu,街舞
jihui,机会
jijia,技嘉
jike,极客
jiling,机灵
jilong,基隆
jimei,集美
jimi,极米
jinchao,金巢
jindian,金店
jingang,金刚
jingdian,经典
jinghua,精华
jingji,经济
jingjia,竞价
jingli,经理
jingling,精灵
jingming,精明
jingsai,竞赛
jingu,金股
jingwai,境外
jinkong,金控
jinlong,金龙
jinming,金明
jinnang,锦囊
jinpai,金牌
jinqian,金钱
jinqu,金曲
jinrong,金融
jintou,金投
jinyong,金庸
jinzi,金子
jipin,极品
jipu,吉普
jishu,技术
jiuba,酒吧
jiucai,韭菜
jiudian,酒店
jiugui,酒鬼
jiuhuang,韭黄
jiuhuo,旧货
jiulong,九龙
jiuxi,酒席
jixian,极限
jizi,集资
juanjuan,娟娟
jucang,聚藏
juchang,剧场
juejin,掘金
jueshi,爵士
juhui,聚会
juhui,聚惠
juju,聚聚
jumao,聚贸
junqing,军情
junsha,君莎
junxun,军训
juzhi,巨制
juzi,桔子
kafei,咖啡
kagou,卡购
kaidian,开店
kaige,凯歌
kaijia,铠甲
kaika,开卡
kaipu,凯普
kaixin,开心
kandian,看点
kangmei,康美
kanxie,看鞋
kanzuo,看座
kaodian,考点
kaojia,考驾
kaola,考拉
kaopu,靠谱
kaoxiang,烤箱
kaoyu,烤鱼
kaozheng,考证
kapu,卡普
kedian,客店
keji,科技
kele,可乐
kelun,客轮
kexue,科学
konghua,空话
kongjian,空间
kongjie,空姐
konglong,恐龙
kongqi,空气
kongqiu,孔丘
kongque,孔雀
kongzi,孔子
koujiao,口角
kuaican,快餐
kuaidi,快递
kuaidian,快典
kuaiji,会计
kuaike,快客
kuaizi,筷子
kuandai,宽带
kuangliao,狂聊
kubei,酷贝
kugua,苦瓜
kuihua,葵花
kulong,酷龙
kumi,酷米
kunchong,昆虫
kunlun,昆仑
kute,酷特
kuzi,裤子
lafei,拉菲
laiwu,莱芜
laiyun,来运
lajiao,辣椒
lanan,蓝安
landa,兰大
landiao,蓝调
landu,蓝都
laner,兰儿
langbo,兰博
langmi,浪米
langzi,浪子
lanhai,蓝海
lanjue,蓝爵
lanjun,蓝军
lanka,蓝卡
lanma,蓝马
lanqiu,篮球
lanren,懒人
lanta,蓝塔
lanti,兰提
lantu,蓝图
lanyan,蓝颜
lanyi,蓝衣
laobai,老白
laoban,老板
laohu,老虎
laoma,老马
laoniu,老牛
laoying,老鹰
laoyou,老友
laozi,老子
laxiang,蜡像
layue,腊月
legou,乐购
leidian,雷电
leile,雷乐
leishou,猎手
leiting,雷霆
lelao,乐老
lenglian,冷链
lengxian,冷鲜
lequ,乐趣
leyi,乐意
leyuan,乐园
liangcai,凉菜
liangcang,粮仓
liangfen,凉粉
lianren,恋人
lianxi,联系;怜惜
lianyin,联姻
lianzi,莲子
liao,聊
liaotian,聊天
liebao,猎豹
liehuo,烈火
lieshou,猎手
lietou,猎头
lihua,梨花
lihun,离婚
lijuan,礼劵
lijun,利君
lili,丽丽
linggan,灵感
lingling,玲玲
linglong,玲珑
lingmao,灵猫
lingqian,零钱;领钱
lingshi,零食
lingwu,领舞
lingxian,领先
lingyin,铃音
lipin,礼品
liqun,利群
lishi,历史
liulang,流浪
liulian,榴莲
liuliang,流量
liusuan,硫酸
liuxing,流行
liwu,礼物
liya,丽雅
lizi,李子;栗子
lizi,梨子;李子
longcheng,龙城
longer,龙儿
longwang,龙王
loulan,楼兰
louti,楼梯
luanma,乱码
ludou,绿豆
luhu,路虎
luhui,芦荟
lundun,伦敦
lunhua,轮滑
luohua,裸花
luoli,萝莉
luoyun,罗云
luozi,骡子
lushan,庐山
lusun,芦笋
luxian,路线
luxiang,录像
luya,露雅
luying,露营
luyou,旅游
luyou,路由
maigu,买股
mailan,麦蓝
maimai,买卖
maipiao,买票
mama,妈妈
mami,妈咪
manao,玛瑙
mangguo,芒果
manyu,鳗鱼
maomao,猫猫
maosun,毛笋
maowang,猫王
maoxian,冒险
maoyi,贸易
maozhu,毛竹
matou,码头
maya,玛雅
mayi,蚂蚁
mazha,蚂蚱
meichu,美厨
meidian, 煤电
meigui,玫瑰
meiguo,美国
meihua,梅花
meijie,媒介
meikuang,煤矿
meilan,魅蓝
meili,美丽
meimei,妹妹
meimo,美模
meiren,美人
meishi,美食
meishu,美术
meiti,媒体
meiwa,美袜
meiyou,煤油
meizi,梅子
mengke,萌客
mengzi,孟子
miandian,面点
mianfei,免费
mianhua,棉花
mianshui,免税
mianyang,绵羊
miaomu,苗木
mibiao,米表
micang,迷藏
mifeng,蜜蜂
miju,蜜桔
minghua,名画
mingjun,名骏
mingpin,名品
mingren,名人
mingshi,名师
mingxiao,名校
mingxing,明星
mingyuan,名媛
mingzi,名字
mingzi,，名字
minmin,敏敏
minyao,民谣
minzhong,民众
mipu,米铺
miren,迷人
mishen,米神
mitan,密探
mixiang,迷香
mixiong,米熊
miyou,密友
miyue,蜜月
mizhu,米主
mizhuang,米庄
modeng,摩登
moer,摩尔
mogu,蘑菇
mogui,魔鬼
mojiao,魔教
moju,模具
molan,魔兰
moli,茉莉
mopei,摩托
moshou,魔兽
moshu,魔术
mote,模特
motuo,摩托
moyin,魔音
moyuan,魔园
mozi,墨子
muen,慕恩
muer,木耳
muju,模具
mulu,目录
muqing,母婴
muye,木业
nafang,拿房
naicha,奶茶
nainiu,奶牛
naner,男儿
nangua,南瓜
nanhai,男孩;南海
nanhu,南湖
nanren,蛮人
nanxing,男性
nanzi,男子
nayao,拿药
nengliang,能量
nengren,能人
nianhuo,年货
nianlun,年轮
nianyu,鲶鱼
niluo,泥螺
ningjie,凝结
ningmeng,柠檬
niuer,妞儿
nongchang,农场
nongfu,农夫
nongmao,农贸
nongshang,农商
nuoyan,诺言
nvzi,女子
ouzhou,欧洲
paidui,派对
paiju,牌具
paimai,拍拍
paiqiu,排球
pangu,盘古
panpan,盼盼
paobing,刨冰
paoche,跑车
paofu,泡芙
peihuo,配货
pengren,烹饪
piao,飘
piaobo,漂泊
piaoliu,漂流
piaowu,票务
piaoxue,飘雪
piaoyi,漂移
picao,皮草
pifa,批发
pifeng,披风
pijiu,啤酒
pinde,品德
pingdu,平度
pingfan,平凡
pinggu,平菇
pinggu,评估
pingping,萍萍
pinhua,品花
pinjiu,品酒
pinmi,品米
pinniu,品牛
pixie,皮鞋
piyi,皮衣
pojie,破解
pubu,瀑布
pudu,普渡
puke,扑克
putao,葡萄
putong,普通
puxin,普信
puxu,普旭
puya,浦亚
qian,钱
qiangbo,抢播
qiangpiao,抢票
qiangwei,蔷薇
qiangxian,抢鲜
qiangzhe,强者
qiangzhu,抢注
qianming,签名
qiannian,千年
qianti,前提
qianxing,千星
qianyan,前沿
qianzhuang,钱庄
qiaqia,恰恰
qiche,汽车
qichen,启辰
qidian,起点
qiegao,切糕
qiezi,茄子
qihang,起航
qihou,气候
qihuo,
qihuo,期货
qincai,芹菜
qingcai,青菜
qingfu,情妇
qinggua,青瓜
qingning,青柠
qingquan,
qingren,情人
qingse,情色
qingshu,情书
qingting,蜻蜓
qingtong,青铜
qingyuan,清远
qinling,秦岭
qinren,亲人
qipai,气派
qipao,旗袍
qipo,气魄
qiqi,琪琪
qiquan,期权
qishi,奇石
qishi,骑士
qishou,旗手
qiusai,球赛
qiushou,球手
qiutian,秋天
qiuxing,球星
qiuyin,球瘾
qiuyin,蚯蚓
qixiang,气象
qixue,奇学
qiyi,奇异
qizhi,旗帜
quanbu,全部
quanli,权利
quanmi,拳迷
quanqiu,全球
quanshui,泉水
quanzi,圈子
qufang,趣房
qunzhong,群众
qunzi,裙子
ranliao,燃料
regou,热狗
rencai,人才
renchao,人潮
renmin,人民
renshen,人参
rensheng,人生
renshou,人寿
reren,惹人
riben,日本
riqi,日期
rongrong,蓉蓉
roudao,柔道
rousi,肉丝
ruanjian,软件
ruchong,蠕虫
ruozhe,弱者
sadan,撒旦
saiche,赛车
sangshen,桑葚
sanhu,散户
sanji,散剂
sankang,三康
sanpei,三陪
senlin,森林
seqing,色情
seyu,色欲
shanbei,扇贝;陕北
shancha,山茶
shandian,闪电
shangbiao,商标
shangdi,上帝
shangdian,商店
shangmao,商贸
shangpin,商品
shangtou,商投
shangtuan,商团
shangwu,商务
shangxun,商讯
shangye,商业
shanhu,珊瑚
shanshu,杉树
shanyang,山羊
shaoer,少儿
shaomai,烧卖
shasha,莎莎
shayu,鲨鱼
shebao,社保
shegua,蛇瓜
shehua,奢华
sheji,设计
shenda,申达
shengdan,圣诞
shengdian,盛典
shenghuo,生活
shengming,生命
shengwu,生物
shengxian,生鲜
shengyan,盛宴
shengyi,生意
shengyin,声音
shenhai,深海
shenjia,身价
shenma,神马
shenshou,神兽
shenxian,神仙
shenzhen,深圳
shequ,社区
sheying,摄影
shichang,市场
shiche,试车
shijian,时间
shijian,时间;事件
shijie,世界
shikong,时空
shilian,失恋
shiliao,食疗
shimao,时髦
shipin,视频
shiren,诗人
shishang,时尚
shiwu,食物
shiye,实业
shiye,视野
shizhang,市长
shizhuang,时装
shizi,狮子
shoudu,首都
shouer,首尔
shouhou,售后
shouhuan,手环
shouji,手机
shoujiao,手脚
shoulie,狩猎
shouling,首领
shoupiao,售票
shoushen,瘦身
shoushi,首饰
shouxian,寿险
shouyin,收银
shuadan,刷单
shuchong,书虫
shudian,书店
shui,水
shuibei,水杯
shuiguo,水果
shuijing,水晶
shuimu,水母
shuiniu,水牛
shuita,水獭
shuizhi,水蛭
shuju,数据
shukong,数控
shuma,数码
shushu,叔叔
shutiao,薯条
shuwang,蜀王
sichou,丝绸
sifu,私服
sigua,丝瓜
sijin,丝巾
siliao,私聊
songhua,送花
songhuo,送货
songshan,嵩山
songshu,松鼠
songsong,松松
souke,搜客
sousou,搜搜
sousuo,搜索
suancai,酸菜
suanming,算命
suansuan,算算
sucai,素材
suda,苏打
sudi,速递
sujiao,塑胶
suliao,塑料
sungua,笋瓜
taiji,太极
taishang,泰山
taiyi,太医
talang,踏浪
tangguo,糖果
tangke,堂客
tanglang,螳螂
tangyuan,汤圆
tanhua,昙花
tanmei,谈美
tanxian,探险
tanzhu,摊主
taoci,陶瓷
taohua,桃花
taomi,淘米
taosha,淘沙
taotao,淘淘
taozhai,讨债
tegong,特供
tejia,特价
tejing,特警
tengfei,腾飞
tenglong,腾龙
texiao,特效
tiandian,甜点
tiandu,天都
tiangou,天狗
tianhu,天虎
tianhuang,天皇
tianhui,天慧
tianji,天机
tianjiao,甜椒
tianju,甜菊
tiankong,天空
tianma,天马
tianmo,天魔
tianqi,天气
tiantang,天堂
tianxia,天下
tianxian,天线
tianxie,天蝎
tianyi,天翼
tiaoqi,跳棋
tiaosao,跳骚
tiaowu,跳舞
tidu,提督
tieban,铁板
tiemi,铁迷
tieniu,	铁牛
tijian,体检
tingke,听课
tingli,听力
tiqin,提亲;提琴
tiyu,体育
tongma,通码
tongmi,童米
tongmu,桐木
tongtong,彤彤
tongxin,通信
tongxun,通讯
tongyong,通用
tongzhuang,童装
toufa,头发
touke,投客
touzi,投资
tuanyuan,团圆
tubiao,图标
tudou,土豆
tuixiu,退休
tuji,突击
tuku,图库
tunmi,囤米
tuoguan,托管
tuomao,脱毛
tuoyun,托运
tushu,图书
tuxiu,途秀;图秀
tuya,涂鸦
tuzhan,图展
tuzhu,土猪;土著
tuzi,兔子
waihang,外行
waihua,外花
waihui,外汇
waimai,外卖
waimao,外贸
waimei,外媒
waishe,外设
wandan,完蛋
wandou,豌豆
wangchao,王朝
wangdian,网店
wangka,网咖
wangliao,网聊
wanglong,网龙
wangluo,网络
wangma,王码
wangpo,王婆
wangpu,旺铺
wangqiu,网球
wangtou,网投
wangzhuan,网赚
wanjia,玩家
wanju,玩具
wanke,万科;玩客
wanqiang,顽强
wansui,万岁
waren,蛙人
weidai,微贷
weidian,微店
weidui,卫队
weige,伟哥
weijing,维京
weike,威客
weiqi,围棋
weitao,微淘
weixing,微星
weixiu,维修
wendan,文旦
wengweng,嗡嗡
wenling,温岭
wenwu,文物
wenxian,温县;文献
wenyao,问药
wenzhu,文竹
wocan,我餐
woniu,蜗牛
wotai,沃泰
wowo,窝窝
wuchan,物产
wudao,舞蹈
wugou,物购
wugui,乌龟
wule,无乐
wulian,物联
wushuang,无双
wuxian,无线
wuzei,乌贼
wuzei,乌贼
xiahua,厦华
xiake,侠客
xiama,下马
xianfeng,先锋
xianggu,香菇
xianggua,香瓜
xiangji,相机
xiangjiao,香蕉
xianglian,项链;相恋
xiangma,相马
xiangpian,相片
xiangqi,象棋
xianguo,鲜果
xianhua,鲜花
xianhuo,现货
xianjin,现金
xianjing,仙境
xianke,鲜客
xianshang,线上
xiantong,仙童
xiantong,仙童;咸通
xianyou,仙游
xiaoao,笑傲
xiaochi,小吃
xiaodian,小店
xiaofei,消费
xiaogou,小狗
xiaogui,小鬼
xiaohai,小孩
xiaohu,小虎
xiaohua,笑话
xiaohuo,小伙
xiaoji,小鸡
xiaolao,效劳
xiaomao,小猫
xiaonei,校内
xiaopu,小铺;小浦
xiaoshou,销售
xiaoxian,小仙
xiaoxiang,肖像;潇湘
xiaoxue,小学
xiaoyao,逍遥
xiaoye,宵夜
xiaozhong,小众
xiaqi,下棋
xiaren,虾仁
xiaxiang,下乡
xiaxue,下雪
xiayu,下雨
xiazai,下载
xiazi,虾子
xibao,细胞
xibu,西部
xichu,西楚
xier,喜儿
xieye,鞋业
xigua,西瓜
xiguan,习惯
xiha,嘻哈
xiju,戏剧
xike,喜客
xinai,心爱
xindao,信道
xinfang,新房;心房
xing,星
xingai,性爱
xinggan,性感
xingkong,星空
xingming,姓名
xingxing,星星
xingyu,性欲
xingzi,杏子
xingzuo,星座
xinhe,新河
xintou,信投
xintuo,信托
xinwen,新闻
xinwo,心窝
xinxi,信息
xinxie,新鞋
xinyong,信用
xiongmao,熊猫
xiqu,戏曲
xique,喜鹊
xisha,西沙
xitie,喜帖;西铁
xiuba,秀吧
xiupin,秀品
xixun,喜讯
xiyi,蜥蜴
xiyuan,戏院
xizhuang,西装;戏装
xizi,戏子
xuanwu,玄武
xuanxiu,选秀
xuanxuan,轩轩
xuanxue,玄学
xuediao,雪貂
xuegao,雪糕
xueli,雪梨
xueqi,学期
xueqiao,雪橇
xuesheng,学生
xuewu,学舞;学武
xuexiao,学校
xueyuan,学院
xuji,续集
xunai,寻爱
xuni,虚拟
xunlu,驯鹿
xunxi,讯息
xunzhao,寻找
xunzi,寻子
xuqu,序曲
xuyuan,许愿
yagan,椪柑
yaguan,亚冠
yajie,亚姐
yancai,腌菜
yancao,烟草
yanchu,演出
yanfang,验方
yangche,养车
yanghe,洋河
yanjing,眼镜
yanjing,眼镜
yanjiu,烟酒
yanran,嫣然
yanzou,演奏
yaodian,药店
yaodu,药都
yaojie,窑姐
yaopu,药铺
yaoshi,钥匙
yaotiao,窈窕
yaowu,药物
yase,亚瑟
yayun,亚运;雅云
yazhou,亚洲
yazi,鸭子
yecan,野餐
yedian,夜店
yegou,野狗
yehua,野花
yelang,野狼
yenei,业内
yeniu,野牛
yeyou,野游
yezhan,野战
yezi,椰子
yibiao,仪表
yibing,医病
yichan,遗产
yiche,易车
yidong,移动
yifei,亦非
yijia,瑜伽
yiner,银耳
yinfa,银发
yingba,影吧
yinger,婴儿
yingguo,英国
yingjian,硬件
yingpan,硬盘
yingshi,影视
yingtao,樱桃
yingwu,鹦鹉
yingxiong,英雄
yingyin,影音
yingyu,英语
yingyuan,影院
yinhang,银行
yinliu,引流
yinpai,银牌
yinpin,音频
yinqing,引擎
yinshua,印刷
yintai,银泰
yinwu,印务
yinxiang,印象
yinxin,银信;音信
yinyue,音乐
yinzhe,隐者
yinzi,银子
yishang,衣裳
yisheng,医生
yishi,医师
yishu,艺术
yixue,医学;易学
yiyou,益友
yiyuan,医院
yongfa,永发
yongzi,永字
youcai,油菜
youdai,优待
youdian,邮电
youhui,优惠
youjian,邮件
youke,游客
youlun,游轮
youmo,幽默
youpu,优铺
youqu,有趣
youting,游艇
youxi,游戏
youxun,游迅
youyong,游泳
youyou,游游
youzi,柚子
yuanlao,元老
yuanma,源码
yuanxian,院线
yuanxiao,元宵
yuanyi,园艺
yuce,预测
yueguang,月光
yuehui,约会
yuelai,悦来
yuelao,月老
yueliang,月亮
yuepu,乐谱
yuer,育儿
yuesao,月嫂
yufo,玉佛
yuju,浴具
yule,娱乐
yuliao,预料
yulu,语录
yumi,玉米
yuming,域名
yundong,运动
yunhu,云狐;云虎
yunniu,云牛
yunyang,云阳
yunzhong,云中
yurun,雨润
yutai,玉台
yutian,雨天
yutou,鱼头
yuying,育婴
zahuo,杂货
zaihun,再婚
zaixian,在线
zaizai,仔仔
zaji,杂技
zangao,藏獒
zangzu,藏族
zaodian,早点
zaotang,澡堂
zaoyuan,枣园
zeguo,泽国
zexin,泽信
zhacai,榨菜
zhahua,扎花
zhaike,宅客
zhaiquan,债券
zhameng,蚱蜢
zhanggui,掌柜
zhangji,掌机
zhanglang,蟑螂
zhangshang,掌上
zhanguo,战国
zhantai,站台
zhaobiao,招标
zhaodao,找到
zhaomi,找米
zhaoming,照明
zhaopai,招牌
zhaopian,照片
zhaopin,招聘
zhaoshang,招商
zhaoxiang,照相
zhaozhao,朝朝
zhekou,折扣
zhengda,正大
zhengfu,政府
zhengqian,挣钱
zhengquan,证券
zhengren,证人
zhengrong,整容
zhengzhi,政治
zhenpin,珍品
zhenqi,珍奇
zhensuo,诊所
zhezhi,折纸
zhiai,挚爱
zhibing,治病
zhifu,支付;致富
zhiji,知己
zhiku,智库
zhileng,制冷
zhiwei,职位
zhixie,制鞋
zhixin,知心
zhiyao,制药
zhiye,职业
zhiyuan,职员
zhongduan,终端
zhongguo,中国
zhonghua,中华
zhongjiang,中奖
zhongjie,中介
zhongxing,中兴
zhongxue,中学
zhongyang,中央
zhouyi,周易
zhuangzi,庄子
zhuanjia,专家
zhuanlan,专栏
zhuanli,专利
zhuanmai,专卖
zhuanpu,转铺
zhuanqian,赚钱
zhuanyi,转译
zhuanzu,转租
zhubao,珠宝
zhuce,注册
zhuchu,主厨
zhufang,住房
